CaseID,RunID,Tester,YearsOfExperience,Order,Pair,Run,ALA,TotalSeconds,ResultTreatableLength,ResultMinTreatableDia,ResultStent1Dia,ResultStent1Length,ResultStent2Dia,ResultStent2Length,ResultCalciumPrep,ResultPostDilate,ResultBalloonDia,ResultBalloonLength,border_mods_in_kf_range,catheter_id,data_source,depth_value,num_border_mods,num_frames,num_kf_mods,pullback_speed,review_start,id
fbb6ac56-5b97-4620-b47f-0cfed6d51936,d35f412a-252f-4ba7-a8f3-abfe4c9fa7de,Tester4,9,3,3,3B,FALSE,179,48,2.5,2.5,48,NA,NA,ROTA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71
d278139d-7188-41a0-a801-d7b743fb8d3e,d4952259-24c3-4e54-9ad4-2fec0f852f32,Tester2,12,9,5,5B,FALSE,130,28,4,4,28,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
40ea09d1-fb82-44ea-b294-74b90056c001,d660429c-672a-4c8f-a900-34b4799c7b95,Tester5,15,3,3,3A,FALSE,73,50,2.5,2.5,28,3,24,"cutting balloon, POBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
cdf011d5-20d0-4af5-9b7e-42120f73b6aa,d9925864-e98b-46c5-a23d-ee3d287b4672,Tester1,10,8,5,5B,FALSE,145,24,3.4,3.5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
6f83b7bb-72a6-4778-8771-e52003b183c7,daa9b4bf-ad8b-4be1-80f1-0129b6cd7770,Tester9,16,9,3,3B,TRUE,206,24,2.5,2.5,24,NA,NA,noncompliant balloon,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
c34037fb-2540-495b-afd8-93a4c4abccde,dc2247ce-c7fe-4a35-a717-d8f6c035edb8,Tester7,15,5,4,4A,TRUE,291,20,3,NA,NA,NA,NA,noncompliant balloon,NA,3,20,0,8,4A-110_AI-PRE_CX,8.989037,0,1135,1,1,10/17/22 18:53,51
faf8b1fb-76e9-4964-a209-5976f9eab735,eb9f1353-8567-49bb-aefd-ca11acc818df,Tester1,10,4,3,3B,FALSE,216,23,3,3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
3e9fa894-328a-4b82-a23e-b54ab7b21a63,edd7d095-1111-470c-9412-db9ec8651e45,Tester9,16,8,2,2A,FALSE,189,0,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
02671063-bf75-453a-a651-e4da495ece3c,ee99cacd-d65a-441e-b3b6-10d2b7746be4,Tester7,15,4,2,2B,FALSE,253,20,3,NA,NA,NA,NA,noncompliant balloon,NA,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
02671063-bf75-453a-a651-e4da495ece3c,ee99cacd-d65a-441e-b3b6-10d2b7746be4,Tester7,15,6,4,4B,FALSE,493,28,3.5,3.5,28,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
e47e9988-24c8-44f2-8a63-239178d0ac12,ef95219f-02a0-46c1-ac3f-c4fa799623ff,Tester5,15,6,4,4B,TRUE,80,18,3,3,18,NA,NA,shockwave,yes,NA,NA,0,8,4B-120_AI-CX_PRE,8.989037,0,1300,1,1,9/18/22 18:35,58
e5e7a1e9-44c4-4df6-9b67-7e4fae90bb42,fa192cca-a2f9-4fbb-9f00-1e4f5f68032b,Tester1,10,6,4,4B,FALSE,180,28,4,4,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
50da3af9-9f7e-4127-b302-887f290978c0,fcb35cef-5ebd-4233-b29c-e850ee7c9066,Tester6,6,2,2,2B,TRUE,260,60,2.25,2.25,28,3.5,38,noncompliant balloon,yes,NA,NA,1,8,2B-101_AI-CX_PRE,8.989037,2,2345,2,1,9/18/22 19:25,16
